"setting","n","result_file","method","metric","mean","sd","non_null_reps"
"Setting1",1000,"results_1000.rds","evaluation_3","A1_bias_3",-0.0232982116165022,0.0427050663135309,200
"Setting1",1000,"results_1000.rds","evaluation_3","A1A3_bias",0.0304319328193543,0.0349879965902936,200
"Setting1",1000,"results_1000.rds","evaluation_3","A1A2_bias_1",-0.0316023264806323,0.0445776430451937,200
"Setting1",1000,"results_1000.rds","evaluation_3","A1A2_bias_2",-0.0645312997951519,0.0349879965902936,200
"Setting1",1000,"results_1000.rds","evaluation_3_mis","M",0.01864,0.130926733126723,200
"Setting1",1000,"results_1000.rds","evaluation_3_mis","M_weighted",0.536263140369891,0.0653113432504769,200
"Setting1",1000,"results_1000.rds","evaluation_3_mis","A3_bias",0.0234848452767883,0.0424721587851663,200
"Setting1",1000,"results_1000.rds","evaluation_3_mis","A2_bias_1",-0.0126636271737095,0.0542687286170628,200
"Setting1",1000,"results_1000.rds","evaluation_3_mis","A2_bias_2",-0.00411078509561877,0.0424721587851663,200
"Setting1",1000,"results_1000.rds","evaluation_3_mis","A1_bias_1",-0.378235444674545,0.037443525054892,200
"Setting1",1000,"results_1000.rds","evaluation_3_mis","A1_bias_2",-0.284355039100416,0.037443525054892,200
"Setting1",1000,"results_1000.rds","evaluation_3_mis","A1_bias_3",0.287421354813869,0.037443525054892,200
"Setting1",1000,"results_1000.rds","evaluation_3_mis","A1A3_bias",0.0303325361776287,0.0351826855379471,200
"Setting1",1000,"results_1000.rds","evaluation_3_mis","A1A2_bias_1",-0.228843211527354,0.0406706264121082,200
"Setting1",1000,"results_1000.rds","evaluation_3_mis","A1A2_bias_2",-0.0646306964368775,0.0351826855379471,200
"Setting1",1000,"results_1000.rds","evaluation_4","M",0.96247,0.0445872088830406,200
"Setting1",1000,"results_1000.rds","evaluation_4","M_weighted",0.983161714733001,0.0199888532876889,200
"Setting1",1000,"results_1000.rds","evaluation_4","A3_bias",-0.001609193835385,0.0380231807433853,200
"Setting1",1000,"results_1000.rds","evaluation_4","A2_bias_1",0.00247523950426792,0.0518225183209266,200
"Setting1",1000,"results_1000.rds","evaluation_4","A2_bias_2",0.012355358733641,0.0534067936142179,200
"Setting1",1000,"results_1000.rds","evaluation_4","A1_bias_1",-0.00286469237582572,0.0463109279803819,200
"Setting1",1000,"results_1000.rds","evaluation_4","A1_bias_2",-0.00282779995870809,0.0491851477323349,200
"Setting1",1000,"results_1000.rds","evaluation_4","A1_bias_3",0.00596552067176088,0.0429165487479779,200
"Setting1",1000,"results_1000.rds","evaluation_4","A1A3_bias",-0.00734792139697806,0.0330549018861672,200
"Setting1",1000,"results_1000.rds","evaluation_4","A1A2_bias_1",-0.00666962645467624,0.0490444614260526,200
"Setting1",1000,"results_1000.rds","evaluation_4","A1A2_bias_2",-0.0209659314982375,0.0578013243210418,200
"Setting1",1000,"results_1000.rds","evaluation_4_mis","M",0.96211,0.0445598000320297,200
"Setting1",1000,"results_1000.rds","evaluation_4_mis","M_weighted",0.982998411625982,0.0199778814759781,200
"Setting1",1000,"results_1000.rds","evaluation_4_mis","A3_bias",-0.00133649587539563,0.0386197264858405,200
"Setting1",1000,"results_1000.rds","evaluation_4_mis","A2_bias_1",0.00248904678305873,0.0516528932182522,200
"Setting1",1000,"results_1000.rds","evaluation_4_mis","A2_bias_2",0.0119695514514607,0.0548131290653121,200
"Setting1",1000,"results_1000.rds","evaluation_4_mis","A1_bias_1",-0.00425308315929407,0.0426225871374105,200
"Setting1",1000,"results_1000.rds","evaluation_4_mis","A1_bias_2",-0.0159042493194831,0.0510509301519323,200
"Setting1",1000,"results_1000.rds","evaluation_4_mis","A1_bias_3",0.0124080827402621,0.0424357293258906,200
"Setting1",1000,"results_1000.rds","evaluation_4_mis","A1A3_bias",-0.00827352260057116,0.0328010893281642,200
"Setting1",1000,"results_1000.rds","evaluation_4_mis","A1A2_bias_1",-0.00745766308783672,0.0463344935405168,200
"Setting1",1000,"results_1000.rds","evaluation_4_mis","A1A2_bias_2",-0.0196873546656282,0.0576510146702831,200
"Setting1",30,"results_30.rds","evaluation_1","M",0,NA,1
"Setting1",30,"results_30.rds","evaluation_1","M_weighted",0.542857142857143,NA,1
"Setting1",30,"results_30.rds","evaluation_1","A3_bias",-0.261518682805849,NA,1
"Setting1",30,"results_30.rds","evaluation_1","A2_bias_1",-0.118113893183248,NA,1
"Setting1",30,"results_30.rds","evaluation_1","A2_bias_2",-0.74452311131145,NA,1
"Setting1",30,"results_30.rds","evaluation_1","A1_bias_1",0.44726197028881,NA,1
"Setting1",30,"results_30.rds","evaluation_1","A1_bias_2",0.845373006365956,NA,1
"Setting1",30,"results_30.rds","evaluation_1","A1_bias_3",0.565564233594293,NA,1
"Setting1",30,"results_30.rds","evaluation_1","A1A3_bias",-0.222509129194983,NA,1
"Setting1",30,"results_30.rds","evaluation_1","A1A2_bias_1",-0.0889809585102334,NA,1
"Setting1",30,"results_30.rds","evaluation_1","A1A2_bias_2",-0.709332263302931,NA,1
"Setting1",30,"results_30.rds","evaluation_2","M",0,NA,1
"Setting1",30,"results_30.rds","evaluation_2","M_weighted",0.542857142857143,NA,1
"Setting1",30,"results_30.rds","evaluation_2","A3_bias",-0.309679779312395,NA,1
"Setting1",30,"results_30.rds","evaluation_2","A2_bias_1",-0.150058141137282,NA,1
"Setting1",30,"results_30.rds","evaluation_2","A2_bias_2",-0.338492452827977,NA,1
"Setting1",30,"results_30.rds","evaluation_2","A1_bias_1",0.407340145328071,NA,1
"Setting1",30,"results_30.rds","evaluation_2","A1_bias_2",0.426615045613703,NA,1
"Setting1",30,"results_30.rds","evaluation_2","A1_bias_3",0.394048794923801,NA,1
"Setting1",30,"results_30.rds","evaluation_2","A1A3_bias",-0.234346117886464,NA,1
"Setting1",30,"results_30.rds","evaluation_2","A1A2_bias_1",-0.119601877505384,NA,1
"Setting1",30,"results_30.rds","evaluation_2","A1A2_bias_2",-0.344771330003408,NA,1
"Setting1",30,"results_30.rds","evaluation_2_mis","M",0,NA,1
"Setting1",30,"results_30.rds","evaluation_2_mis","M_weighted",0.542857142857143,NA,1
"Setting1",30,"results_30.rds","evaluation_2_mis","A3_bias",-0.251481626235334,NA,1
"Setting1",30,"results_30.rds","evaluation_2_mis","A2_bias_1",-0.206273380444154,NA,1
"Setting1",30,"results_30.rds","evaluation_2_mis","A2_bias_2",-0.28029429975094,NA,1
"Setting1",30,"results_30.rds","evaluation_2_mis","A1_bias_1",0.0201372760064336,NA,1
"Setting1",30,"results_30.rds","evaluation_2_mis","A1_bias_2",0.0394121762920908,NA,1
"Setting1",30,"results_30.rds","evaluation_2_mis","A1_bias_3",0.642323173634965,NA,1
"Setting1",30,"results_30.rds","evaluation_2_mis","A1A3_bias",-0.204745417701854,NA,1
"Setting1",30,"results_30.rds","evaluation_2_mis","A1A2_bias_1",-0.351976540690319,NA,1
"Setting1",30,"results_30.rds","evaluation_2_mis","A1A2_bias_2",-0.315170629818822,NA,1
"Setting1",30,"results_30.rds","evaluation_3","M",0,NA,1
"Setting1",30,"results_30.rds","evaluation_3","M_weighted",0.542857142857143,NA,1
"Setting1",30,"results_30.rds","evaluation_3","A3_bias",-0.369533119096941,NA,1
